Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id,Boss_Dmg_Dealt,Wave_Diff_Mult
1,Mix,3,Win,40.5,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0,0.00,20640,0,0,0,5500,26,140,0.03,20640,0,0,0.0,1000,0.10,0.50,Supply,ShieldRestore,护盾值+100,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus","Impact:1|Focus:1",0,1430,20000,509.8,0,380,95,0.00,20,0,0,0,0,20,Chapter01_01_Test,0,1.00
2,Mix,5,Win,56.8,15,0,2,0,0,17,2000,1000,2000,1000,0,0,0,0,0.60,44365,0,0,0,7190,23,246,0.03,44365,0,0,0.0,1300,0.10,0.50,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Focus","Impact:1|Focus:3",0,3150,42900,780.4,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test,0,1.00
3,Mix,7,Win,45.6,16,24,0,0,0,40,2000,1000,2000,980,20,20,0,20,0.22,45045,0,0,0,9196,23,183,0.11,45045,0,0,0.0,1800,0.10,0.50,Supply,ShieldRestore,护盾值+200,0,0,0.0,0.0,0.0,0.0,3,0,0,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Focus>Impact>Focus","Impact:2|Focus:4",0,5495,40320,988.1,1,644,152,0.00,16,24,1,0,0,41,Chapter01_01_Test,0,1.00
4,Mix,9,Win,54.4,16,6,1,5,0,28,2000,1000,2000,1000,0,0,0,0,0.18,58350,0,0,0,8950,18,199,0.08,58350,0,0,0.0,2500,0.10,0.50,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,4,0,0,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Focus>Impact>Focus>Focus>Prism","Impact:2|Focus:5|Prism:1",0,3000,53820,1073.4,0,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test,0,1.00
5,A,11,Win,33.0,40,12,0,0,0,52,2000,1000,2000,1000,0,0,0,0,0.00,70771,4200,0,0,16398,32,250,0.10,74971,0,0,0.0,2500,0.10,0.50,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,5,0,0,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Focus>Impact>Focus>Focus>Prism>Impact>Crit","Impact:3|Focus:5|Prism:1|Crit:1",1,9142,67800,2269.5,0,976,236,0.00,40,13,0,0,0,53,Chapter01_01_Test,0,1.00
6,A,14,Win,62.6,20,8,4,0,1,33,2000,1000,2000,1000,0,0,0,0,0.70,154368,300,0,0,44168,82,461,0.03,154668,0,0,0.0,2500,0.13,0.50,Supply,HealthRestore,生命值+250,0,0,0.0,0.0,0.0,0.0,6,0,0,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Focus>Impact>Focus>Focus>Prism>Impact>Crit>Impact>Crit>Crit","Impact:4|Focus:5|Prism:1|Crit:3",0,7096,149760,2469.7,0,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test,0,1.00
7,A,14,Win,40.2,0,20,0,5,0,25,2000,1000,2000,1000,0,0,0,0,0.00,57389,1445,0,0,24684,33,130,0.14,58834,0,0,0.0,2500,0.19,0.50,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,7,0,0,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Focus>Impact>Focus>Focus>Prism>Impact>Crit>Impact>Crit>Crit","Impact:4|Focus:5|Prism:1|Crit:3",1,5975,50600,1464.9,0,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test,0,1.00
8,A,16,Win,55.8,12,0,2,6,1,21,2000,1000,2000,370,630,630,0,630,0.31,128426,13630,0,0,66628,116,360,0.02,142056,0,0,0.0,2500,0.22,0.50,Supply,ShieldRestore,护盾值+100,0,0,0.0,0.0,0.0,0.0,8,0,0,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Focus>Impact>Focus>Focus>Prism>Impact>Crit>Impact>Crit>Crit>Crit>Crit","Impact:4|Focus:5|Prism:1|Crit:5",0,7227,156600,2544.2,9,840,180,0.00,12,0,2,7,1,22,Chapter01_01_Test,0,1.00
9,A,17,Win,67.3,24,14,1,4,0,43,2000,470,2000,130,340,340,0,340,0.16,148649,19210,0,0,80680,113,359,0.07,167859,0,0,0.0,2500,0.25,0.50,Supply,ShieldRestore,护盾值+100,0,0,0.0,0.0,0.0,0.0,9,0,0,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Focus>Impact>Focus>Focus>Prism>Impact>Crit>Impact>Crit>Crit>Crit>Crit>Impact","Impact:5|Focus:5|Prism:1|Crit:5",1,18245,165330,2493.4,9,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test,0,1.00
10,A,17,Win,21.4,0,8,0,0,0,8,2000,230,2000,230,0,0,250,0,0.00,4100,590,0,0,1740,3,14,0.32,4690,0,0,0.0,2500,0.25,0.50,None,None,None,0,0,0.0,0.0,0.0,0.0,9,0,0,250,0,0.9,Press,0.00,1,1,1,0,"Impact>Focus>Focus>Focus>Impact>Focus>Focus>Prism>Impact>Crit>Impact>Crit>Crit>Crit>Crit>Impact","Impact:5|Focus:5|Prism:1|Crit:5",1,1675,0,219.2,1,0,24,0.00,0,0,0,0,0,0,Chapter01_01_Test,120090,1.00
