Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id,Boss_Dmg_Dealt,Wave_Diff_Mult
1,Mix,3,Win,40.0,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0,0.00,20500,0,0,0,4440,21,151,0.02,20500,0,0,0.0,1000,0.10,0.50,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus","Impact:1|Focus:1",0,1800,20000,513.0,0,360,95,0.00,20,0,0,0,0,20,Chapter01_01_Test,0,1.00
2,A,5,Win,53.2,15,0,2,0,0,17,1850,1000,1850,1000,0,0,0,0,0.60,44253,0,0,0,8793,29,243,0.03,44253,0,0,0.0,1300,0.10,0.50,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Crit","Impact:1|Focus:2|Crit:1",0,2325,42900,832.5,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test,0,1.00
3,A,7,Win,45.4,15,24,1,0,0,40,1850,900,1850,900,0,0,0,0,0.22,44136,0,0,0,15377,41,168,0.09,44136,0,0,0.0,1500,0.18,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-150|激光攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Crit>Focus>Impact","Impact:2|Focus:3|Crit:1",0,3617,40320,972.0,0,704,172,0.00,16,24,1,0,0,41,Chapter01_01_Test,0,1.00
4,A,9,Win,47.8,16,6,1,5,0,28,1700,900,1700,900,0,0,0,0,0.17,60133,0,0,0,19778,38,167,0.10,60133,0,0,0.0,2380,0.18,0.50,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Crit>Focus>Impact>Focus>Focus","Impact:2|Focus:5|Crit:1",0,3711,53820,1259.1,0,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test,0,1.00
5,A,11,Win,33.1,40,12,0,0,0,52,1620,900,1620,880,20,20,0,20,0.00,75562,0,0,0,23762,43,220,0.10,75562,0,0,0.0,2500,0.22,0.50,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Crit>Focus>Impact>Focus>Focus>Crit>Crit","Impact:2|Focus:5|Crit:3",0,6158,67800,2284.9,1,960,236,0.00,40,13,0,0,0,53,Chapter01_01_Test,0,1.00
6,A,14,Win,58.7,20,8,4,0,1,33,1620,780,1620,760,20,20,0,20,0.69,156550,0,0,0,65717,102,375,0.04,156550,0,0,0.0,2500,0.24,0.50,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Crit>Focus>Impact>Focus>Focus>Crit>Crit>Crit>Crit>Impact","Impact:3|Focus:5|Crit:5",0,11388,149760,2668.1,1,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test,0,1.00
7,A,14,Win,35.5,0,20,0,5,0,25,1620,660,1620,660,0,0,0,0,0.00,57367,0,0,0,31816,42,98,0.12,57367,0,0,0.0,2650,0.25,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,7,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Crit>Focus>Impact>Focus>Focus>Crit>Crit>Crit>Crit>Impact","Impact:3|Focus:5|Crit:5",0,4055,50600,1618.1,0,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test,0,1.00
8,A,16,Win,54.1,12,0,2,6,1,21,1540,660,1540,540,120,120,0,120,0.28,156763,0,0,0,80475,104,285,0.02,156763,0,0,0.0,2770,0.25,0.50,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,8,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Crit>Focus>Impact>Focus>Focus>Crit>Crit>Crit>Crit>Impact>Impact>Impact","Impact:5|Focus:5|Crit:5",0,8584,156600,2897.9,4,840,180,0.00,12,0,2,7,1,22,Chapter01_01_Test,0,1.00
9,A,17,Win,54.5,24,14,1,4,0,43,1540,440,1520,0,460,440,0,460,0.15,177396,0,0,0,82210,96,281,0.12,177396,0,0,0.0,2770,0.30,0.50,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,9,0,0,0.0,None,1.00,0,0,0,0,"Impact>Focus>Focus>Crit>Focus>Impact>Focus>Focus>Crit>Crit>Crit>Crit>Impact>Impact>Impact>Power","Impact:5|Focus:5|Crit:5|Power:1",1,15775,165330,3252.4,12,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test,0,1.00
10,A,17,Win,20.7,0,8,0,0,0,8,1440,0,1440,0,0,0,250,0,0.00,8370,0,0,0,6264,4,4,0.62,8370,0,0,0.0,2700,0.34,0.50,None,None,None,0,0,0.0,0.0,0.0,0.0,0,0,9,250,0,1.5,Charge,0.00,1,1,1,1,"Impact>Focus>Focus>Crit>Focus>Impact>Focus>Focus>Crit>Crit>Crit>Crit>Impact>Impact>Impact>Power","Impact:5|Focus:5|Crit:5|Power:1",1,6804,0,404.3,1,0,24,0.00,0,0,0,0,0,0,Chapter01_01_Test,120177,1.00
