Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id,Boss_Dmg_Dealt,Wave_Diff_Mult
1,Mix,3,Win,42.6,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0,0.00,20360,0,0,0,4500,21,149,0.02,20360,14,0,105.0,1000,0.10,0.50,Gacha_Negative,CritRateLossPercent,激光暴击率-4%,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter","Frost:1|Shatter:1",0,1400,20000,477.4,0,380,95,0.00,20,0,0,0,0,20,Chapter01_01_Test,0,1.00
2,Mix,5,Win,58.8,15,0,2,0,0,17,2000,1000,2000,1000,0,0,0,0,0.61,43550,0,0,0,5140,20,286,0.01,43550,31,0,438.0,1000,0.08,0.50,Gacha,LaserLengthPercent,激光长度+10%,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>FrostSpread>Shatter","Frost:1|Shatter:2|FrostSpread:1",0,3610,42900,740.6,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test,0,1.00
3,Mix,7,Win,47.1,15,24,1,0,0,40,2000,1000,2000,1000,0,0,0,0,0.22,44820,0,0,0,8940,29,231,0.10,44820,50,0,354.0,1000,0.08,0.50,Gacha,CritRatePercent,激光暴击率+3%,0,0,0.0,0.0,0.0,0.0,0,3,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>FrostSpread>Shatter>Shatter>Frost","Frost:2|Shatter:3|FrostSpread:1",0,2650,40320,952.2,0,724,172,0.00,16,24,1,0,0,41,Chapter01_01_Test,0,1.00
4,Mix,9,Win,83.9,16,6,1,5,0,28,2000,1000,2000,1000,0,0,0,0,0.14,54300,0,22000,0,12000,36,241,0.11,76300,78,0,504.0,1000,0.11,0.50,Gacha_Coin,CoinReward,金币+50,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>FrostSpread>Shatter>Shatter>Frost>Shatter>Shatter","Frost:2|Shatter:5|FrostSpread:1",0,9640,53820,909.0,0,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test,0,1.00
5,Mix,11,Win,32.4,40,12,0,0,0,52,2000,1000,2000,970,30,30,0,30,0.00,44700,0,102000,0,10240,26,201,0.23,146700,67,0,583.5,1000,0.11,0.50,Gacha,LaserLengthPercent,激光长度+10%,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>FrostSpread>Shatter>Shatter>Frost>Shatter>Shatter>FrostSpread>FrostSpread","Frost:2|Shatter:5|FrostSpread:3",0,15640,67800,4527.9,1,960,236,0.00,40,13,0,0,0,53,Chapter01_01_Test,0,1.00
6,Mix,14,Win,67.9,20,8,4,0,1,33,2000,970,2000,970,0,0,0,0,0.53,137520,0,68000,0,23680,56,543,0.07,205520,54,0,2415.5,1000,0.11,0.50,Gacha,BaseDamagePercent,激光攻击力+10%,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>FrostSpread>Shatter>Shatter>Frost>Shatter>Shatter>FrostSpread>FrostSpread>Frost>Frost>Frost","Frost:5|Shatter:5|FrostSpread:3",0,9960,149760,3025.0,0,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test,0,1.00
7,Mix,14,Win,51.5,0,20,0,5,0,25,2000,970,2000,950,20,20,0,20,0.00,48796,0,50600,0,8800,22,186,0.12,99396,39,0,762.5,1100,0.11,0.50,Gacha,LaserWidthPercent,激光宽度+10%,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>FrostSpread>Shatter>Shatter>Frost>Shatter>Shatter>FrostSpread>FrostSpread>Frost>Frost>Frost","Frost:5|Shatter:5|FrostSpread:3",0,9284,50600,1929.6,1,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test,0,1.00
8,Mix,16,Win,67.7,12,0,2,6,1,21,2000,950,2000,620,330,330,0,330,0.22,145244,0,48400,0,32824,62,429,0.03,193644,37,13,2790.0,1100,0.11,0.53,Gacha_Negative,CritRateLossPercent,激光暴击率-4%,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>FrostSpread>Shatter>Shatter>Frost>Shatter>Shatter>FrostSpread>FrostSpread>Frost>Frost>Frost>FrostSpread>FrostSpread","Frost:5|Shatter:5|FrostSpread:5",1,18480,156600,2859.8,3,840,180,0.00,12,0,2,7,1,22,Chapter01_01_Test,0,1.00
9,Mix,17,Win,67.7,24,14,1,4,0,43,2000,620,1930,0,690,620,0,690,0.15,142031,0,39600,0,23275,48,357,0.20,181631,63,8,1620.0,1100,0.09,0.53,Gacha,LaserLengthPercent,激光长度+10%,0,0,0.0,0.0,0.0,0.0,0,9,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>FrostSpread>Shatter>Shatter>Frost>Shatter>Shatter>FrostSpread>FrostSpread>Frost>Frost>Frost>FrostSpread>FrostSpread>Crit","Frost:5|Shatter:5|FrostSpread:5|Crit:1",0,53526,165330,2682.5,26,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test,0,1.00
10,Mix,17,Win,100.1,0,48,0,0,0,48,1930,0,603,0,0,0,1446,1327,0.00,9312,0,105600,0,710,3,77,0.60,114912,70,22,732.5,1100,0.13,0.53,None,None,None,0,0,0.0,0.0,0.0,0.0,0,9,0,750,696,11.9,Summon,0.00,4,2,10,2,"Frost>Shatter>FrostSpread>Shatter>Shatter>Frost>Shatter>Shatter>FrostSpread>FrostSpread>Frost>Frost>Frost>FrostSpread>FrostSpread>Crit","Frost:5|Shatter:5|FrostSpread:5|Crit:1",1,18084,0,1148.5,304,0,144,0.00,0,0,0,0,0,0,Chapter01_01_Test,120151,1.00
