Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id,Boss_Dmg_Dealt,Wave_Diff_Mult
1,Mix,3,Win,54.3,0,0,0,0,0,0,2000,1000,2000,970,30,30,0,30,0.00,51100,7705,0,0,10170,60,548,0.02,58805,0,0,0.0,1000,0.10,0.50,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Prism>Prism","Prism:2",0,2690,8250,1082.1,1,473,220,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
2,B,6,Win,53.6,0,0,0,0,0,0,2000,870,2000,870,0,0,0,0,0.00,48027,22011,0,4917,8476,38,1302,0.06,74955,0,0,0.0,1150,0.10,0.50,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Prism>Prism>Chain>Wide>Chain","Prism:2|Chain:2|Wide:1",1,5897,11800,1397.6,0,546,252,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
3,B,7,Win,59.5,0,0,0,0,0,0,2000,770,2000,770,0,0,0,0,0.00,56584,17804,0,8355,14755,68,1688,0.05,82742,0,0,0.0,1300,0.10,0.60,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Prism>Prism>Chain>Wide>Chain>Prism","Prism:3|Chain:2|Wide:1",0,4577,23200,1390.7,0,568,268,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
4,B,9,Win,59.8,0,0,0,0,0,0,1850,770,1850,710,60,60,0,60,0.00,45462,33597,0,19649,14703,51,2181,0.04,98706,0,0,0.0,1690,0.10,0.60,Supply,ShieldRestore,护盾值+100,0,0,0.0,0.0,0.0,0.0,1,0,3,0,0,0.0,None,1.00,0,0,0,0,"Prism>Prism>Chain>Wide>Chain>Prism>Prism>Chain","Prism:4|Chain:3|Wide:1",0,6380,26730,1650.8,2,618,288,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
5,B,11,Win,85.2,0,0,0,0,0,0,1850,810,1850,225,0,0,585,585,0.00,41472,57257,0,47662,16697,62,4667,0.04,146389,0,0,0.0,1690,0.10,0.60,Gacha_Epic,BaseDamagePercent,激光攻击力+25%,0,0,0.0,0.0,0.0,0.0,1,1,3,0,585,0.0,None,1.00,0,0,0,0,"Prism>Prism>Chain>Wide>Chain>Prism>Prism>Chain>Prism>Chain","Prism:5|Chain:4|Wide:1",0,7609,31274,1717.6,9,723,334,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
6,B,12,Win,68.4,0,0,0,0,0,0,1850,225,1850,95,0,0,130,130,0.00,38438,49791,0,45566,13420,42,3902,0.03,133792,0,0,0.0,2015,0.10,0.60,Gacha_Coin,CoinReward,金币+100,0,0,0.0,0.0,0.0,0.0,1,2,3,0,130,0.0,None,1.00,0,0,0,0,"Prism>Prism>Chain>Wide>Chain>Prism>Prism>Chain>Prism>Chain>Chain","Prism:5|Chain:5|Wide:1",0,7570,30000,1955.0,2,628,291,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
7,B,13,Win,66.3,0,0,0,0,0,0,1850,95,1850,30,0,0,65,65,0.00,30798,63755,0,47673,16986,57,3743,0.04,142224,0,0,0.0,2015,0.10,0.60,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,1,2,4,0,65,0.0,None,1.00,0,0,0,0,"Prism>Prism>Chain>Wide>Chain>Prism>Prism>Chain>Prism>Chain>Chain>Reflex","Prism:5|Chain:5|Wide:1|Reflex:1",0,10099,33005,2143.6,1,659,297,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
8,B,14,Win,62.1,0,0,0,0,0,0,1700,30,1700,0,0,0,65,30,0.00,36670,74757,0,82478,20678,73,6428,0.03,193910,0,0,0.0,2015,0.10,0.60,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,2,2,4,0,65,0.0,None,1.00,0,0,0,0,"Prism>Prism>Chain>Wide>Chain>Prism>Prism>Chain>Prism>Chain>Chain>Reflex>Reflex","Prism:5|Chain:5|Wide:1|Reflex:2",0,8863,35360,3122.8,1,737,334,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
9,B,16,Win,66.8,0,0,0,0,0,0,1850,0,1660,0,60,0,260,190,0.00,54752,167129,0,62715,37467,130,6029,0.04,284598,0,0,0.0,2015,0.10,0.60,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,2,2,5,0,260,0.0,None,1.00,0,0,0,0,"Prism>Prism>Chain>Wide>Chain>Prism>Prism>Chain>Prism>Chain>Chain>Reflex>Reflex>Reflex>Wide","Prism:5|Chain:5|Wide:2|Reflex:3",1,16342,60480,4263.0,6,1345,612,0.00,0,0,0,0,0,0,Chapter02_01,0,1.00
10,B,16,Win,88.3,0,0,0,0,0,0,1510,0,260,0,0,0,1250,1250,0.00,4547,27703,0,100644,6203,24,5904,0.03,132894,0,0,0.0,2145,0.10,0.70,None,None,None,0,0,0.0,0.0,0.0,0.0,2,2,5,1250,0,4.7,Press,0.00,5,2,7,2,"Prism>Prism>Chain>Wide>Chain>Prism>Prism>Chain>Prism>Chain>Chain>Reflex>Reflex>Reflex>Wide","Prism:5|Chain:5|Wide:2|Reflex:3",0,3097,0,1505.6,5,0,123,32.11,0,0,0,0,0,0,Chapter02_01,180298,1.00
