Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id
1,Mix,3,Win,39.3,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0,0.00,20520,40,0,520,2200,11,283,0.03,21080,0,0,0.0,1000,0.10,0.50,Gacha,BaseDamageFlat,激光攻击力+150,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism","Chain:1|Prism:1",0,1900,20000,536.5,0,360,95,0.00,20,0,0,0,0,20,Chapter01_01_Test
2,Mix,5,Win,59.5,15,0,2,0,0,17,2000,1000,2000,1000,0,0,0,0,0.58,43728,0,0,2029,6302,23,566,0.02,45756,0,0,0.0,1150,0.10,0.50,Gacha,LaserWidthPercent,激光宽度+10%,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Power>Impact","Chain:1|Prism:1|Power:1|Impact:1",0,2484,42900,769.1,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test
3,Mix,7,Win,50.0,16,24,0,0,0,40,2000,1000,2000,1000,0,0,0,0,0.22,43454,442,0,1364,6458,24,475,0.08,45260,31,0,223.0,1380,0.10,0.53,Gacha_Coin,CoinReward,金币+100,0,0,0.0,0.0,0.0,0.0,0,3,0,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Power>Impact>Chain>Frost","Chain:2|Prism:1|Power:1|Impact:1|Frost:1",0,3030,40320,904.6,0,704,152,0.00,16,24,1,0,0,41,Chapter01_01_Test
4,B,9,Win,138.3,16,6,1,5,0,28,2000,1000,2000,1000,0,0,0,0,0.18,55834,0,0,2607,9329,32,672,0.03,58441,101,0,519.0,1380,0.10,0.60,Gacha_Epic,LaserWidthPercent,激光宽度+12%,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Power>Impact>Chain>Frost>Wide>Shatter","Chain:2|Prism:1|Power:1|Impact:1|Frost:1|Wide:1|Shatter:1",0,2349,53820,422.5,0,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test
5,B,11,Win,33.3,40,12,0,0,0,52,2000,1000,2000,980,20,0,0,20,0.00,68826,5381,0,2902,14538,33,660,0.09,77109,85,0,742.0,1380,0.10,0.66,Gacha_Epic,LaserLengthPercent,激光长度+20%,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Power>Impact>Chain>Frost>Wide>Shatter>FrostSpread>Crit","Chain:2|Prism:1|Power:1|Impact:1|Frost:1|Wide:1|Shatter:1|FrostSpread:1|Crit:1",1,9347,67800,2315.3,1,960,236,0.00,40,13,0,0,0,53,Chapter01_01_Test
6,B,13,Win,66.5,20,8,4,0,1,33,2000,980,2000,920,60,0,0,60,0.70,147830,5203,0,11696,37699,103,2019,0.02,164729,66,0,1939.0,1380,0.13,0.66,Gacha_Epic,LaserLengthPercent,激光长度+20%,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Power>Impact>Chain>Frost>Wide>Shatter>FrostSpread>Crit>Reflex>Frost","Chain:2|Prism:1|Power:1|Impact:1|Frost:2|Wide:1|Shatter:1|FrostSpread:1|Crit:1|Reflex:1",0,10825,149760,2477.5,3,1168,249,0.00,20,8,5,0,1,34,Chapter01_01_Test
7,B,14,Win,56.3,0,20,0,5,0,25,2000,920,2000,900,20,0,0,20,0.00,52981,1473,0,1497,15007,42,439,0.06,55952,59,0,711.0,1380,0.13,0.66,Gacha_Epic,LaserWidthPercent,激光宽度+12%,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Power>Impact>Chain>Frost>Wide>Shatter>FrostSpread>Crit>Reflex>Frost>FrostSpread","Chain:2|Prism:1|Power:1|Impact:1|Frost:2|Wide:1|Shatter:1|FrostSpread:2|Crit:1|Reflex:1",0,2629,50600,994.0,1,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test
8,A,16,Win,54.7,12,0,2,6,1,21,2000,900,2000,870,30,0,0,30,0.27,126019,33646,0,10580,36553,81,1667,0.02,170244,60,0,2404.5,1725,0.13,0.72,Gacha_Negative,NextWaveDamageBuff,下一波怪物伤害+25%,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Power>Impact>Chain>Frost>Wide>Shatter>FrostSpread>Crit>Reflex>Frost>FrostSpread>Focus>Reflex","Chain:2|Prism:1|Power:1|Impact:1|Frost:2|Wide:1|Shatter:1|FrostSpread:2|Crit:1|Reflex:2|Focus:1",1,10217,156600,3112.6,1,840,180,0.00,12,0,2,7,1,22,Chapter01_01_Test
9,A,17,Win,62.4,24,14,1,4,0,43,2000,870,2000,0,890,0,0,870,0.17,139606,14387,0,5054,26400,74,1091,0.15,159048,89,0,1686.0,1725,0.13,0.72,Gacha,BaseDamagePercent,激光攻击力+10%,0,0,0.0,0.0,0.0,0.0,0,9,0,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Power>Impact>Chain>Frost>Wide>Shatter>FrostSpread>Crit>Reflex>Frost>FrostSpread>Focus>Reflex>Chain","Chain:3|Prism:1|Power:1|Impact:1|Frost:2|Wide:1|Shatter:1|FrostSpread:2|Crit:1|Reflex:2|Focus:1",0,30700,165330,2547.1,29,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test
10,A,17,Win,58.0,0,24,0,0,0,24,2000,0,1480,0,20,0,750,520,0.00,7268,5047,0,154,2750,9,98,0.22,12470,29,0,690.8,1840,0.13,0.72,None,None,None,0,0,0.0,0.0,0.0,0.0,0,9,0,750,0,8.0,Press,-0.01,3,2,3,1,"Chain>Prism>Power>Impact>Chain>Frost>Wide>Shatter>FrostSpread>Crit>Reflex>Frost>FrostSpread>Focus>Reflex>Chain","Chain:3|Prism:1|Power:1|Impact:1|Frost:2|Wide:1|Shatter:1|FrostSpread:2|Crit:1|Reflex:2|Focus:1",1,1822,0,215.1,4,0,72,0.00,0,0,0,0,0,0,Chapter01_01_Test
