Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id
1,Mix,3,Win,41.1,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0,0.00,20100,55,0,0,2800,14,174,0.01,20155,0,0,0.0,1000,0.10,0.50,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Prism>Prism","Prism:2",0,1700,20000,490.1,0,380,95,0.00,20,0,0,0,0,20,Chapter01_01_Test
2,Mix,5,Win,58.8,15,0,2,0,0,17,2000,900,2000,900,0,0,0,0,0.61,43400,0,0,0,12800,64,306,0.01,43400,0,0,0.0,1000,0.15,0.50,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Prism>Prism>Prism>Prism","Prism:4",0,2300,42900,737.6,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test
3,B,7,Win,46.9,15,24,1,0,0,40,1850,900,1850,900,0,0,0,0,0.22,37440,6006,0,0,11440,47,260,0.07,43446,0,0,0.0,1300,0.15,0.50,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Prism>Prism>Prism>Prism>Prism>Wide","Prism:5|Wide:1",0,2405,40320,927.3,0,724,172,0.00,16,24,1,0,0,41,Chapter01_01_Test
4,B,9,Win,53.6,16,6,1,5,0,28,1700,900,1700,900,0,0,0,0,0.18,53600,4144,0,0,15520,50,272,0.07,57744,0,0,0.0,1600,0.15,0.70,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Prism>Prism>Prism>Prism>Prism>Wide>Wide>Wide","Prism:5|Wide:3",0,3104,53820,1077.5,0,656,173,0.00,16,6,1,6,0,29,Chapter01_01_Test
5,B,11,Win,32.1,40,12,0,0,0,52,1620,900,1620,900,0,0,0,0,0.00,29170,43277,0,1932,20106,72,637,0.06,74379,0,0,0.0,1792,0.15,0.80,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Prism>Prism>Prism>Prism>Prism>Wide>Wide>Wide>Chain>Wide","Prism:5|Wide:4|Chain:1",0,7143,67800,2313.9,0,960,236,0.00,40,13,0,0,0,53,Chapter01_01_Test
6,B,14,Win,64.5,20,8,4,0,1,33,1540,900,1540,900,0,0,0,0,0.71,115345,38008,0,8003,43510,137,1652,0.02,161358,0,0,0.0,1792,0.19,0.90,Deal,HealthLoss→BaseDamagePercent,生命值-150|激光攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Prism>Prism>Prism>Prism>Prism>Wide>Wide>Wide>Chain>Wide>Wide>Chain>Chain","Prism:5|Wide:5|Chain:3",0,7129,149760,2500.0,0,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test
7,B,14,Win,37.3,0,20,0,5,0,25,1390,900,1390,750,150,0,0,150,0.00,35520,19074,0,784,16640,46,282,0.07,55378,0,0,0.0,2080,0.19,1.00,Gacha_Coin,CoinReward,金币+50,0,0,0.0,0.0,0.0,0.0,0,1,6,0,0,0.0,None,1.00,0,0,0,0,"Prism>Prism>Prism>Prism>Prism>Wide>Wide>Wide>Chain>Wide>Wide>Chain>Chain","Prism:5|Wide:5|Chain:3",0,3744,50600,1483.7,1,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test
8,B,16,Win,70.6,12,0,2,6,1,21,1390,750,1390,540,210,0,0,210,0.28,92853,63482,0,8821,44138,125,1602,0.02,165157,0,0,0.0,2080,0.19,1.00,Gacha,LaserLengthPercent,激光长度+10%,0,0,0.0,0.0,0.0,0.0,0,2,6,0,0,0.0,None,1.00,0,0,0,0,"Prism>Prism>Prism>Prism>Prism>Wide>Wide>Wide>Chain>Wide>Wide>Chain>Chain>Chain>Chain","Prism:5|Wide:5|Chain:5",0,11700,156600,2340.0,3,840,180,0.00,12,0,2,7,1,22,Chapter01_01_Test
9,B,17,Win,46.6,24,14,1,4,0,43,1390,540,1390,360,180,0,0,180,0.15,88425,82191,0,5121,52874,139,1058,0.04,175737,0,0,0.0,2080,0.19,1.00,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,1,2,6,0,0,0.0,None,1.00,0,0,0,0,"Prism>Prism>Prism>Prism>Prism>Wide>Wide>Wide>Chain>Wide>Wide>Chain>Chain>Chain>Chain>Reflex","Prism:5|Wide:5|Chain:5|Reflex:1",1,22510,165330,3771.9,2,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test
10,B,17,Win,20.2,0,8,0,0,0,8,1540,360,1540,110,0,0,250,250,0.00,51,3858,0,51,1310,6,30,0.18,3960,0,0,0.0,2080,0.19,1.00,None,None,None,0,0,0.0,0.0,0.0,0.0,1,2,6,250,0,1.5,Charge,0.00,1,1,1,1,"Prism>Prism>Prism>Prism>Prism>Wide>Wide>Wide>Chain>Wide>Wide>Chain>Chain>Chain>Chain>Reflex","Prism:5|Wide:5|Chain:5|Reflex:1",0,2475,0,196.2,1,0,24,0.00,0,0,0,0,0,0,Chapter01_01_Test
