Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id
1,Mix,3,Win,40.6,19,0,0,0,0,19,0,1000,0,1000,0,0,0,0,0.00,20260,0,0,0,4360,20,150,0.01,20260,14,0,109.0,1000,0.10,0.50,Deal,HealthLoss→LaserWidthPercent,生命值-80|激光宽度+8%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter","Frost:1|Shatter:1",0,1600,20000,499.5,0,380,95,0.00,20,0,0,0,0,20,Chapter01_01_Test
2,Mix,5,Win,53.4,15,0,2,0,0,17,0,1000,0,1000,0,0,0,0,0.61,43650,0,0,0,6260,25,292,0.02,43650,23,0,516.5,1000,0.10,0.54,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Frost>Frost","Frost:3|Shatter:1",0,1920,42900,817.0,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test
3,Mix,8,Win,49.4,15,24,1,0,0,40,0,900,0,880,20,0,0,20,0.23,42500,0,0,0,10580,39,238,0.06,42500,49,0,653.5,1000,0.15,0.54,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Frost>Frost>FrostSpread>Shatter>Frost","Frost:4|Shatter:2|FrostSpread:1",0,2400,40320,859.8,1,744,172,0.00,16,24,1,0,0,41,Chapter01_01_Test
4,Mix,9,Win,95.7,16,6,1,5,0,28,0,880,0,880,0,0,0,0,0.18,57848,0,0,0,12880,36,240,0.07,57848,64,0,867.5,1120,0.15,0.54,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Frost>Frost>FrostSpread>Shatter>Frost>Frost","Frost:5|Shatter:2|FrostSpread:1",1,5040,53820,604.6,0,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test
5,Mix,11,Win,31.7,40,12,0,0,0,52,0,880,0,880,0,0,0,0,0.00,74928,0,0,0,23587,58,255,0.10,74928,61,0,1925.0,1120,0.19,0.54,Deal,HealthLoss→BaseDamagePercent,生命值-150|激光攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Frost>Frost>FrostSpread>Shatter>Frost>Frost>Shatter>Shatter","Frost:5|Shatter:4|FrostSpread:1",1,6586,67800,2365.3,0,928,236,0.00,40,13,0,0,0,53,Chapter01_01_Test
6,Mix,14,Win,58.5,20,8,4,0,1,33,0,880,0,880,0,0,0,0,0.49,140478,0,80600,0,51610,95,333,0.08,221078,44,21,1202.5,1300,0.19,0.54,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Frost>Frost>FrostSpread>Shatter>Frost>Frost>Shatter>Shatter>Shatter>FrostSpread>FrostSpread","Frost:5|Shatter:5|FrostSpread:3",0,12948,149760,3779.7,0,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test
7,Mix,14,Win,46.4,0,20,0,5,0,25,0,880,0,880,0,0,0,0,0.00,48252,0,71000,0,14200,26,126,0.10,119251,40,0,515.0,1420,0.19,0.54,Deal,HealthLoss→LaserWidthPercent,生命值-80|激光宽度+8%,0,0,0.0,0.0,0.0,0.0,0,0,7,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Frost>Frost>FrostSpread>Shatter>Frost>Frost>Shatter>Shatter>Shatter>FrostSpread>FrostSpread","Frost:5|Shatter:5|FrostSpread:3",0,12212,50600,2571.0,0,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test
8,Mix,16,Win,59.6,12,0,2,6,1,21,0,880,0,610,270,0,0,270,0.22,145209,0,53960,0,42089,62,299,0.04,199169,44,6,2042.5,1420,0.19,0.58,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,8,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Frost>Frost>FrostSpread>Shatter>Frost>Frost>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>FrostSpread>FrostSpread","Frost:5|Shatter:5|FrostSpread:5",1,16358,156600,3340.0,5,840,180,0.00,12,0,2,7,1,22,Chapter01_01_Test
9,Mix,17,Win,53.9,24,14,0,5,0,43,0,510,0,0,520,0,0,510,0.12,156613,0,65280,0,54771,88,250,0.18,221893,64,4,1585.0,1420,0.24,0.58,Supply,HealthRestore,生命值+250,0,0,0.0,0.0,0.0,0.0,1,0,8,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Frost>Frost>FrostSpread>Shatter>Frost>Frost>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>FrostSpread>FrostSpread>Power","Frost:5|Shatter:5|FrostSpread:5|Power:1",1,36765,165330,4116.2,20,904,212,0.00,24,14,1,5,0,44,Chapter01_01_Test
10,Mix,17,Win,76.2,0,40,0,0,0,40,0,0,0,0,0,0,892,0,0.00,8256,0,96000,0,3360,8,54,0.62,104256,54,12,607.5,1200,0.24,0.58,None,None,None,0,0,0.0,0.0,0.0,0.0,1,0,8,250,642,18.4,Press,0.00,1,4,5,3,"Frost>Shatter>Frost>Frost>FrostSpread>Shatter>Frost>Frost>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>FrostSpread>FrostSpread>Power","Frost:5|Shatter:5|FrostSpread:5|Power:1",1,41664,0,1367.5,406,0,120,0.00,0,0,0,0,0,0,Chapter01_01_Test
