Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id
1,Mix,3,Win,41.1,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,20200,0,0,0,4400,22,158,0.01,20200,16,0,132.0,1000,0.10,0.50,Gacha,CritRatePercent,激光暴击率+3%,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread","Frost:1|FrostSpread:1",0,2200,20000,491.5,0,360,95,0.00,20,0,0,0,0,20,Chapter01_01_Test
2,Mix,5,Win,55.7,15,0,2,0,0,17,2000,1000,2000,1000,0,0,0,0.61,43300,0,0,0,9200,38,285,0.01,43300,36,0,385.0,1000,0.13,0.50,Gacha_Coin,CoinReward,金币+50,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Reflex>Power","Frost:1|FrostSpread:1|Reflex:1|Power:1",1,2400,42900,777.8,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test
3,Mix,7,Win,48.5,16,24,0,0,0,40,2000,1000,2000,940,60,0,60,0.24,40740,0,0,0,9120,40,275,0.02,40740,58,0,591.0,1200,0.13,0.50,Gacha_Epic,BaseDamagePercent,激光攻击力+25%,0,0,0.0,0.0,0.0,0.0,0,3,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Reflex>Power>Frost>FrostSpread","Frost:2|FrostSpread:2|Reflex:1|Power:1",0,3000,40320,840.0,3,664,152,0.00,16,24,1,0,0,41,Chapter01_01_Test
4,Mix,9,Win,78.9,16,6,1,5,0,28,2000,940,2000,940,0,0,0,0.18,57138,0,0,0,14175,37,239,0.05,57138,69,0,627.0,1750,0.13,0.50,Gacha_Epic,BaseDamagePercent,激光攻击力+25%,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Reflex>Power>Frost>FrostSpread>Focus>FrostSpread","Frost:2|FrostSpread:3|Reflex:1|Power:1|Focus:1",1,4550,53820,724.2,0,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test
5,Mix,11,Win,33.8,40,12,0,0,0,52,2000,940,2000,0,950,0,940,0.00,61398,0,0,0,9000,23,169,0.34,61398,82,0,1566.0,2000,0.13,0.50,Gacha_Coin,CoinReward,金币+50,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Reflex>Power>Frost>FrostSpread>Focus>FrostSpread>Wide>FrostSpread","Frost:2|FrostSpread:4|Reflex:1|Power:1|Focus:1|Wide:1",0,21198,67800,1819.0,34,976,236,0.00,40,13,0,0,0,53,Chapter01_01_Test
6,Mix,14,Win,65.5,20,8,4,0,1,33,2000,0,2000,0,0,0,0,0.70,154510,0,0,0,32240,59,450,0.03,154510,58,0,2604.5,2000,0.13,0.60,Supply,ShieldFull,护盾重启,0,0,0.0,0.0,0.0,0.0,1,5,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Reflex>Power>Frost>FrostSpread>Focus>FrostSpread>Wide>FrostSpread>Shatter>FrostSpread>Frost","Frost:3|FrostSpread:5|Reflex:1|Power:1|Focus:1|Wide:1|Shatter:1",1,6760,149760,2359.9,0,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test
7,Mix,14,Win,67.8,0,20,0,5,0,25,2000,1000,2000,1000,0,0,0,0.00,54860,0,0,0,14840,30,169,0.08,54860,56,0,666.0,2000,0.13,0.60,Gacha_Coin,CoinReward,金币+50,0,0,0.0,0.0,0.0,0.0,1,6,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Reflex>Power>Frost>FrostSpread>Focus>FrostSpread>Wide>FrostSpread>Shatter>FrostSpread>Frost","Frost:3|FrostSpread:5|Reflex:1|Power:1|Focus:1|Wide:1|Shatter:1",0,3350,50600,809.2,0,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test
8,Mix,16,Win,59.7,12,0,2,6,1,21,2000,1000,2000,0,1040,0,1000,0.26,164984,0,0,0,31668,52,343,0.18,164984,37,0,2482.5,2000,0.13,0.60,Supply,ShieldFull,护盾重启,0,0,0.0,0.0,0.0,0.0,2,6,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Reflex>Power>Frost>FrostSpread>Focus>FrostSpread>Wide>FrostSpread>Shatter>FrostSpread>Frost>Frost>Crit","Frost:4|FrostSpread:5|Reflex:1|Power:1|Focus:1|Wide:1|Shatter:1|Crit:1",1,41296,156600,2763.1,8,760,180,0.00,12,0,2,7,1,22,Chapter01_01_Test
9,Mix,17,Win,72.5,24,14,1,4,0,43,2000,1000,2000,210,790,0,790,0.23,115873,0,0,0,30573,58,358,0.02,115873,71,6,2497.5,2000,0.13,0.60,Gacha_Epic,LaserLengthPercent,激光长度+20%,0,0,0.0,0.0,0.0,0.0,2,7,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Reflex>Power>Frost>FrostSpread>Focus>FrostSpread>Wide>FrostSpread>Shatter>FrostSpread>Frost>Frost>Crit>Frost","Frost:5|FrostSpread:5|Reflex:1|Power:1|Focus:1|Wide:1|Shatter:1|Crit:1",0,3666,165330,1598.4,30,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test
10,Mix,17,Win,219.0,0,136,0,0,0,136,2000,210,1538,0,220,1062,672,0.00,98046,0,0,0,13309,25,220,0.47,98046,180,37,3048.8,2000,0.13,0.60,None,None,None,0,0,0.0,0.0,0.0,0.0,2,7,0,900,162,52.4,Press,0.00,5,9,19,8,"Frost>FrostSpread>Reflex>Power>Frost>FrostSpread>Focus>FrostSpread>Wide>FrostSpread>Shatter>FrostSpread>Frost>Frost>Crit>Frost","Frost:5|FrostSpread:5|Reflex:1|Power:1|Focus:1|Wide:1|Shatter:1|Crit:1",3,31076,0,447.7,176,0,408,0.00,0,0,0,0,0,0,Chapter01_01_Test
