Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP
1,Mix,2,Win,43.4,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,20600,0,0,0,4400,19,144,0.03,20600,0,0,0.0,1000,0.10,0.50,Gacha,LaserWidthPercent,激光宽度+10%,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,None,1.00,0,0,0,0,"Focus","Focus:1",0,1100,20000
2,Mix,4,Win,51.3,20,0,0,4,0,24,2000,1000,2000,1000,0,0,0,0.00,34264,0,0,0,6060,21,190,0.05,34264,0,0,0.0,1300,0.10,0.53,Gacha_Epic,CritRatePercent,激光暴击率+16%,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus","Focus:3",0,2175,32500
3,Mix,5,Win,56.4,18,0,0,7,0,25,2000,1000,2000,1000,0,0,0,0.00,41741,0,0,0,13868,38,150,0.07,41741,0,0,0.0,1800,0.18,0.53,Gacha_Epic,CritRatePercent,激光暴击率+16%,0,0,0.0,0.0,0.0,0.0,0,3,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus","Focus:4",0,2738,38000
4,Mix,6,Win,33.3,20,4,0,0,0,24,2000,1000,2000,1000,0,0,0,0.00,25938,0,0,0,13200,30,58,0.07,25938,0,0,0.0,2200,0.26,0.53,Gacha_Negative,CritRateLossPercent,激光暴击率-4%,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Prism","Focus:4|Prism:1",0,1980,24200
5,Mix,6,Win,50.9,10,7,0,5,0,22,2000,1000,2000,1000,0,0,0,0.00,36742,0,0,0,11396,26,116,0.09,36742,0,0,0.0,2200,0.24,0.53,Gacha_Coin,CoinReward,金币+100,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Prism","Focus:4|Prism:1",0,2092,33360
6,Mix,7,Win,40.9,20,8,2,0,0,30,2000,1000,2000,1000,0,0,0,0.68,108031,550,0,0,49799,94,236,0.05,108581,85,0,205.5,2200,0.24,0.53,Gacha_Epic,BaseDamagePercent,激光攻击力+25%,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Prism>Frost","Focus:4|Prism:1|Frost:1",1,9530,102960
7,A,9,Win,48.4,35,6,4,0,0,45,2000,1000,2000,1000,0,0,0,0.49,116595,551,0,0,35409,66,301,0.07,117146,110,0,234.5,2450,0.15,0.53,Gacha_Negative,NextWaveDamageBuff,下一波怪物伤害+25%,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Prism>Frost>Crit>Impact","Focus:4|Prism:1|Frost:1|Crit:1|Impact:1",0,7472,108360
8,A,11,Win,76.8,35,0,0,19,0,54,2000,1000,2000,1000,0,0,0,0.00,141607,184,0,0,27567,47,334,0.09,141791,279,0,280.5,2450,0.15,0.53,Gacha,BaseDamageFlat,激光攻击力+150,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Prism>Frost>Crit>Impact>Impact>Focus","Focus:5|Prism:1|Frost:1|Crit:1|Impact:2",0,7311,127500
9,A,12,Win,41.2,40,14,4,0,0,58,2000,1000,2000,1000,0,0,0,0.32,163019,3630,0,0,47802,52,267,0.13,166648,146,0,238.5,2875,0.15,0.53,Gacha,BaseDamageFlat,激光攻击力+150,0,0,0.0,0.0,0.0,0.0,0,9,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Prism>Frost>Crit>Impact>Impact>Focus>Impact","Focus:5|Prism:1|Frost:1|Crit:1|Impact:3",0,11864,144160
10,A,14,Win,55.6,60,14,5,14,0,93,2000,1000,2000,1000,0,0,0,0.24,274720,934,0,0,80732,76,356,0.16,275654,309,0,341.0,3250,0.15,0.53,Gacha_Epic,CritRatePercent,激光暴击率+16%,0,0,0.0,0.0,0.0,0.0,0,10,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Prism>Frost>Crit>Impact>Impact>Focus>Impact>Crit>Crit","Focus:5|Prism:1|Frost:1|Crit:3|Impact:3",0,23474,228960
11,A,15,Win,38.5,90,20,5,0,0,115,2000,1000,2000,980,20,0,20,0.27,353762,12228,0,0,168657,130,302,0.20,365990,317,0,343.5,3250,0.33,0.53,Gacha,LaserWidthPercent,激光宽度+10%,0,0,0.0,0.0,0.0,0.0,0,11,0,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Focus>Focus>Prism>Frost>Crit>Impact>Impact>Focus>Impact>Crit>Crit>Impact","Focus:5|Prism:1|Frost:1|Crit:3|Impact:4",1,49422,292000
12,A,16,Win,81.0,0,32,0,0,0,32,2000,980,2000,60,20,900,920,0.00,39566,1706,0,0,18616,12,35,0.69,41272,45,0,296.8,3250,0.33,0.55,None,None,None,0,0,0.0,0.0,0.0,0.0,0,11,0,900,0,9.2,Press,0.00,3,6,4,4,"Focus>Focus>Focus>Focus>Prism>Frost>Crit>Impact>Impact>Focus>Impact>Crit>Crit>Impact>Impact","Focus:5|Prism:1|Frost:1|Crit:3|Impact:5",0,7543,0
