Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP
1,Mix,2,Win,43.9,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,20300,0,0,0,3600,18,167,0.01,20300,0,0,0.0,1000,0.10,0.50,Gacha_Epic,BaseDamagePercent,激光攻击力+25%,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,None,1.00,0,0,0,0,"Impact","Impact:1",0,1000,20000
2,Mix,4,Win,40.8,19,0,0,5,0,24,2000,1000,2000,1000,0,0,0,0.00,32740,0,0,0,3730,12,199,0.01,32740,0,0,0.0,1250,0.10,0.50,Gacha,BaseDamageFlat,激光攻击力+150,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Power","Impact:2|Power:1",1,2750,32500
3,Mix,5,Win,51.0,18,0,0,7,0,25,2000,1000,2000,1000,0,0,0,0.00,41814,0,0,0,9108,31,223,0.09,41814,0,0,0.0,1380,0.10,0.50,Gacha,BaseDamagePercent,激光攻击力+10%,0,0,0.0,0.0,0.0,0.0,0,3,0,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Power>Impact","Impact:3|Power:1",1,1932,38000
4,Mix,6,Win,33.7,20,4,0,0,0,24,2000,1000,2000,1000,0,0,0,0.00,26835,0,0,0,2990,10,137,0.10,26835,9,0,13.0,1495,0.10,0.50,Gacha_Negative,NextWaveSpeedBuff,下一波怪物速度+30%,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Power>Impact>Frost","Impact:3|Power:1|Frost:1",0,1794,24200
5,Mix,6,Win,116.5,10,7,0,5,0,22,2000,1000,2000,1000,0,0,0,0.00,39169,0,0,0,8671,14,92,0.13,39169,51,0,58.5,1495,0.10,0.50,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,4,1,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Power>Impact>Frost","Impact:3|Power:1|Frost:1",1,6728,33360
6,Mix,8,Win,38.2,20,7,2,0,1,30,1920,1000,1920,1000,0,0,0,0.66,112424,0,0,0,33488,42,201,0.08,112424,68,0,187.0,1495,0.14,0.60,Gacha_Coin,CoinReward,金币+50,0,0,0.0,0.0,0.0,0.0,0,5,1,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Power>Impact>Frost>Wide>Chain","Impact:3|Power:1|Frost:1|Wide:1|Chain:1",1,9269,102960
7,Mix,9,Win,51.6,35,6,4,0,0,45,1920,1000,1920,1000,0,0,0,0.48,120109,0,0,2078,29003,43,554,0.10,122187,125,0,317.5,1495,0.14,0.60,Gacha_Epic,BaseDamagePercent,激光攻击力+25%,0,0,0.0,0.0,0.0,0.0,0,6,1,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Power>Impact>Frost>Wide>Chain>Crit","Impact:3|Power:1|Frost:1|Wide:1|Chain:1|Crit:1",0,6339,108360
8,A,11,Win,88.8,35,0,0,19,0,54,1920,1000,1920,1000,0,0,0,0.00,146706,0,0,1444,36116,47,439,0.12,148150,234,0,319.0,1783,0.15,0.60,Gacha_Negative,BaseDamageLossPercent,激光攻击力-5%,0,0,0.0,0.0,0.0,0.0,0,7,1,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Power>Impact>Frost>Wide>Chain>Crit>Focus>Wide","Impact:3|Power:1|Frost:1|Wide:2|Chain:1|Crit:1|Focus:1",1,8936,127500
9,A,12,Win,40.8,40,13,4,0,1,58,1920,1000,1920,0,1010,0,1000,0.30,177942,0,0,2468,33684,40,430,0.32,180410,130,0,343.5,1668,0.15,0.70,Gacha_Epic,BaseDamagePercent,激光攻击力+25%,0,0,0.0,0.0,0.0,0.0,0,8,1,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Power>Impact>Frost>Wide>Chain>Crit>Focus>Wide>Wide","Impact:3|Power:1|Frost:1|Wide:3|Chain:1|Crit:1|Focus:1",1,10138,144160
10,A,13,Loss,35.2,39,8,1,9,0,57,1920,0,0,0,1980,0,1920,0.26,118492,0,0,1681,26784,31,382,0.10,120174,164,0,513.5,1955,0.15,0.80,None,None,None,0,0,0.0,0.0,0.0,0.0,0,8,1,0,0,0.0,None,1.00,0,0,0,0,"Impact>Impact>Power>Impact>Frost>Wide>Chain>Crit>Focus>Wide>Wide>Frost","Impact:3|Power:1|Frost:2|Wide:3|Chain:1|Crit:1|Focus:1",0,6100,225760
