Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP
1,Mix,2,Win,43.5,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,20200,0,0,0,2400,12,178,0.01,20200,11,0,54.5,1000,0.10,0.50,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Frost","Frost:1",0,1000,20000
2,C,4,Win,88.9,20,0,0,4,0,24,2000,900,2000,900,0,0,0,0.00,34345,0,0,0,8480,37,223,0.04,34345,112,0,180.5,1000,0.15,0.50,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Impact","Frost:1|Shatter:1|Impact:1",0,1690,32500
3,C,5,Win,109.2,18,0,0,7,0,25,2000,800,2000,800,0,0,0,0.00,41343,0,0,0,11684,31,158,0.06,41343,132,0,137.0,1150,0.15,0.50,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Impact>Impact","Frost:1|Shatter:1|Impact:2",1,3910,38000
4,C,6,Win,33.3,20,4,0,0,0,24,1850,800,1850,800,0,0,0,0.00,29371,0,0,0,6808,12,89,0.18,29371,28,0,68.5,1150,0.15,0.50,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Impact>Impact>Frost","Frost:2|Shatter:1|Impact:2",0,2507,24200
5,C,6,Win,52.1,10,7,0,5,0,22,1770,800,1770,800,0,0,0,0.00,37881,0,0,0,13800,22,92,0.10,37881,46,0,106.4,1150,0.19,0.50,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Impact>Impact>Frost","Frost:2|Shatter:1|Impact:2",1,4048,33360
6,C,8,Win,38.2,20,7,2,0,1,30,1620,800,1620,800,0,0,0,0.67,109267,0,0,0,36386,55,219,0.06,109267,71,0,366.4,1150,0.19,0.50,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Impact>Impact>Frost>Impact>Impact","Frost:2|Shatter:1|Impact:4",0,5693,102960
7,C,9,Win,42.5,35,6,4,0,0,45,1470,800,1470,800,0,0,0,0.48,118887,0,0,0,37513,50,232,0.09,118887,102,0,339.0,1150,0.19,0.50,Deal,HealthLoss→LaserWidthPercent,生命值-80|激光宽度+8%,0,0,0.0,0.0,0.0,0.0,0,0,7,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Impact>Impact>Frost>Impact>Impact>Frost","Frost:3|Shatter:1|Impact:4",0,6279,108360
8,C,11,Win,49.8,35,0,0,19,0,54,1390,800,1390,800,0,0,0,0.00,153008,0,0,0,53981,71,268,0.16,153008,189,0,504.8,1150,0.19,0.54,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,8,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Impact>Impact>Frost>Impact>Impact>Frost>Impact>Frost","Frost:4|Shatter:1|Impact:5",0,7889,127500
9,C,12,Win,38.2,40,13,4,0,1,58,1240,800,1240,800,0,0,0,0.31,169653,0,0,0,68591,53,172,0.15,169653,96,0,404.4,1495,0.19,0.54,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,9,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Impact>Impact>Frost>Impact>Impact>Frost>Impact>Frost>Frost","Frost:5|Shatter:1|Impact:5",0,9329,144160
10,C,14,Win,39.6,60,14,5,14,0,93,1160,800,1160,800,0,0,0,0.24,293887,0,0,0,106504,74,227,0.22,293887,207,1,733.2,1495,0.23,0.54,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,10,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Impact>Impact>Frost>Impact>Impact>Frost>Impact>Frost>Frost>Shatter>Shatter","Frost:5|Shatter:3|Impact:5",1,30498,228960
