Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP
1,Mix,2,Win,42.5,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,20200,0,0,0,4600,23,156,0.01,20200,0,0,0.0,1000,0.10,0.50,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Crit","Crit:1",0,1100,20000
2,Mix,4,Win,49.4,20,0,0,4,0,24,1920,1000,1920,1000,0,0,0,0.00,33300,0,0,0,13040,55,173,0.02,33300,0,0,0.0,1000,0.19,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus","Crit:2|Focus:1",1,2400,32500
3,Mix,5,Win,87.0,18,0,0,7,0,25,1840,1000,1840,1000,0,0,0,0.00,43026,0,0,0,13632,48,203,0.10,43026,0,0,0.0,1420,0.20,0.50,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus>Crit","Crit:3|Focus:1",1,1562,38000
4,Mix,6,Win,33.2,20,4,0,0,0,24,1760,1000,1760,1000,0,0,0,0.00,26635,0,0,0,11206,39,108,0.09,26635,0,0,0.0,1420,0.29,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-150|激光攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus>Crit>Focus","Crit:3|Focus:2",0,1562,24200
5,Mix,6,Win,42.8,10,7,0,5,0,22,1610,1000,1610,1000,0,0,0,0.00,36204,0,0,0,15691,47,123,0.06,36204,0,0,0.0,1680,0.29,0.50,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus>Crit>Focus","Crit:3|Focus:2",0,2016,33360
6,A,7,Win,54.7,20,8,2,0,0,30,1530,1000,1530,1000,0,0,0,0.68,107638,0,0,0,52315,139,296,0.04,107638,0,0,0.0,1680,0.33,0.50,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus>Crit>Focus>Impact","Crit:3|Focus:2|Impact:1",1,5510,102960
7,A,9,Win,46.0,35,6,4,0,0,45,1380,1000,1380,1000,0,0,0,0.49,115517,0,0,0,56048,124,263,0.06,115517,0,0,0.0,2340,0.33,0.50,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,7,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus>Crit>Focus>Impact>Focus>Impact","Crit:3|Focus:3|Impact:2",0,5501,108360
8,A,11,Win,60.3,35,0,0,19,0,54,1380,900,1380,750,150,0,150,0.00,142693,0,0,0,75563,146,261,0.10,142693,0,0,0.0,2340,0.38,0.50,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,0,8,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus>Crit>Focus>Impact>Focus>Impact>Impact>Impact","Crit:3|Focus:3|Impact:4",1,10259,127500
9,A,12,Win,44.7,40,14,3,0,1,58,1230,750,1230,750,0,0,0,0.34,155418,0,0,0,82040,149,272,0.07,155418,0,0,0.0,2340,0.38,0.50,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,9,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus>Crit>Focus>Impact>Focus>Impact>Impact>Impact>Impact","Crit:3|Focus:3|Impact:5",1,15814,144160
10,A,14,Win,54.5,60,14,5,14,0,93,1080,750,930,0,910,0,900,0.25,261892,0,0,0,134169,226,365,0.15,261892,0,0,0.0,2880,0.38,0.50,Supply,ShieldFull,护盾重启,0,0,0.0,0.0,0.0,0.0,1,0,9,0,0,0.0,None,1.00,0,0,0,0,"Crit>Crit>Focus>Crit>Focus>Impact>Focus>Impact>Impact>Impact>Impact>Focus>Crit","Crit:4|Focus:4|Impact:5",0,28751,228960
