Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id
1,Mix,3,Win,40.7,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,20100,0,0,0,2800,14,173,0.00,20100,15,0,122.0,1000,0.10,0.50,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread","Frost:1|FrostSpread:1",0,1400,20000,493.9,0,380,95,0.00,20,0,0,0,0,20,Chapter01_01_Test
2,Mix,5,Win,57.4,15,0,2,0,0,17,2000,900,2000,900,0,0,0,0.61,43930,0,0,0,8280,36,310,0.02,43930,28,0,754.5,1150,0.10,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-150|激光攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Frost>Frost","Frost:3|FrostSpread:1",0,1955,42900,764.9,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test
3,Mix,7,Win,50.5,16,24,0,0,0,40,1850,900,1850,900,0,0,0,0.22,44688,0,0,0,6916,26,284,0.10,44688,52,0,914.0,1330,0.10,0.50,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Frost>Frost>FrostSpread>FrostSpread","Frost:3|FrostSpread:3",0,2261,40320,884.4,0,684,152,0.00,16,24,1,0,0,41,Chapter01_01_Test
4,Mix,9,Win,116.4,16,6,1,5,0,28,1770,900,1770,900,0,0,0,0.19,56977,0,0,0,15747,46,250,0.06,56977,94,0,1130.0,1330,0.14,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Frost>Frost>FrostSpread>FrostSpread>Shatter>FrostSpread","Frost:3|FrostSpread:4|Shatter:1",0,2421,53820,489.4,0,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test
5,Mix,11,Win,33.7,40,12,0,0,0,52,1690,900,1690,660,240,0,240,0.00,68194,0,0,0,16559,43,240,0.08,68194,58,0,2683.5,1450,0.14,0.50,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Frost>Frost>FrostSpread>FrostSpread>Shatter>FrostSpread>Frost>Frost","Frost:5|FrostSpread:4|Shatter:1",1,5481,67800,2021.9,8,960,236,0.00,40,13,0,0,0,53,Chapter01_01_Test
6,Mix,14,Win,75.5,20,8,4,0,1,33,1690,560,1690,560,0,0,0,0.71,153504,0,0,0,39712,90,518,0.02,153504,44,77,2482.5,1600,0.14,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Frost>Frost>FrostSpread>FrostSpread>Shatter>FrostSpread>Frost>Frost>FrostSpread>Shatter>Shatter","Frost:5|FrostSpread:5|Shatter:3",0,5760,149760,2032.2,0,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test
7,Mix,14,Win,50.8,0,20,0,5,0,25,1610,560,1610,560,0,0,0,0.00,57620,0,0,0,15893,28,153,0.12,57620,44,0,692.5,1720,0.14,0.50,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,7,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Frost>Frost>FrostSpread>FrostSpread>Shatter>FrostSpread>Frost>Frost>FrostSpread>Shatter>Shatter","Frost:5|FrostSpread:5|Shatter:3",0,3096,50600,1134.0,0,480,110,0.00,0,20,0,6,0,26,Chapter01_01_Test
8,Mix,16,Win,61.4,12,0,2,6,1,21,1530,560,1530,530,30,0,30,0.25,163383,0,13760,0,49054,58,307,0.05,177143,38,16,1707.5,1720,0.18,0.50,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,8,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Frost>Frost>FrostSpread>FrostSpread>Shatter>FrostSpread>Frost>Frost>FrostSpread>Shatter>Shatter>Shatter>Shatter","Frost:5|FrostSpread:5|Shatter:5",1,14070,156600,2886.3,1,800,180,0.00,12,0,2,7,1,22,Chapter01_01_Test
9,Mix,17,Win,53.3,24,14,1,4,0,43,1530,430,1510,0,450,0,450,0.12,128350,0,96320,0,36445,51,241,0.10,224671,58,4,1300.0,1720,0.23,0.50,Supply,HealthRestore,生命值+250,0,0,0.0,0.0,0.0,0.0,1,0,8,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Frost>Frost>FrostSpread>FrostSpread>Shatter>FrostSpread>Frost>Frost>FrostSpread>Shatter>Shatter>Shatter>Shatter>Crit","Frost:5|FrostSpread:5|Shatter:5|Crit:1",0,27337,165330,4216.6,17,824,227,0.00,24,14,1,5,0,44,Chapter01_01_Test
10,Mix,17,Loss,187.0,0,120,0,0,0,120,1760,0,0,0,40,2471,1760,0.00,27962,0,405920,0,8801,13,155,0.65,433882,149,28,1635.0,1720,0.13,0.50,None,None,None,0,0,0.0,0.0,0.0,0.0,1,0,8,900,1571,47.2,Charge,0.14,5,8,17,8,"Frost>FrostSpread>Frost>Frost>FrostSpread>FrostSpread>Shatter>FrostSpread>Frost>Frost>FrostSpread>Shatter>Shatter>Shatter>Shatter>Crit","Frost:5|FrostSpread:5|Shatter:5|Crit:1",2,30019,0,2320.4,1081,0,360,23.22,0,0,0,0,0,0,Chapter01_01_Test
