Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id,Boss_Dmg_Dealt,Wave_Diff_Mult
1,Mix,3,Win,40.8,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0,0.00,20100,0,0,0,2800,14,173,0.00,20100,15,0,125.0,1000,0.10,0.50,Supply,ShieldRestore,护盾值+100,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread","Frost:1|FrostSpread:1",0,1400,20000,492.1,0,380,95,0.00,20,0,0,0,0,20,Chapter01_01_Test,0,1.00
2,Mix,5,Win,57.7,15,0,2,0,0,17,2000,1000,2000,1000,0,0,0,0,0.61,43620,0,0,0,10560,41,257,0.02,43620,33,0,464.0,1000,0.10,0.50,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Shatter>Shatter","Frost:1|FrostSpread:1|Shatter:2",0,2120,42900,756.2,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test,0,1.00
3,Mix,7,Win,47.4,15,24,1,0,0,40,2000,1000,2000,1000,0,0,0,0,0.22,43690,0,0,0,6280,19,226,0.08,43690,46,0,280.0,1000,0.10,0.50,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,3,0,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Shatter>Shatter>Shatter>Shatter","Frost:1|FrostSpread:1|Shatter:4",0,2770,40320,921.4,0,724,172,0.00,16,24,1,0,0,41,Chapter01_01_Test,0,1.00
4,Mix,9,Win,95.8,16,6,1,5,0,28,2000,1000,2000,1000,0,0,0,0,0.10,47320,0,54000,0,11600,28,195,0.07,101320,73,0,293.0,1000,0.10,0.50,Supply,ShieldRestore,护盾值+100,0,0,0.0,0.0,0.0,0.0,4,0,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Shatter>Shatter>Shatter>Shatter>Shatter>FrostSpread","Frost:1|FrostSpread:2|Shatter:5",0,9980,53820,1057.5,0,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test,0,1.00
5,Mix,11,Win,33.4,40,12,0,0,0,52,2000,1000,2000,940,60,60,0,60,0.00,41440,0,96000,0,8960,22,191,0.21,137440,79,0,472.0,1000,0.10,0.50,Supply,ShieldRestore,护盾值+100,0,0,0.0,0.0,0.0,0.0,5,0,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Shatter>Shatter>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>FrostSpread","Frost:1|FrostSpread:4|Shatter:5",0,16200,67800,4111.1,3,976,236,0.00,40,13,0,0,0,53,Chapter01_01_Test,0,1.00
6,Mix,14,Win,68.3,20,8,4,0,1,33,2000,1000,2000,880,120,120,0,120,0.55,140836,0,56400,0,25568,52,472,0.06,197236,68,0,1371.0,1000,0.10,0.50,Supply,HealthRestore,生命值+250,0,0,0.0,0.0,0.0,0.0,6,0,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Shatter>Shatter>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>FrostSpread>FrostSpread>Power>Power","Frost:1|FrostSpread:5|Shatter:5|Power:2",1,11080,149760,2888.9,3,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test,0,1.00
7,Mix,14,Win,87.9,0,20,0,5,0,25,2000,880,2000,860,20,20,0,20,0.00,44828,0,64400,0,8120,17,162,0.18,109228,95,0,236.0,1400,0.10,0.50,Supply,HealthRestore,生命值+250,0,0,0.0,0.0,0.0,0.0,7,0,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Shatter>Shatter>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>FrostSpread>FrostSpread>Power>Power","Frost:1|FrostSpread:5|Shatter:5|Power:2",0,13636,50600,1242.1,1,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test,0,1.00
8,Mix,16,Win,62.7,12,0,2,6,1,21,2000,860,2000,860,0,0,0,0,0.19,140532,0,87200,0,28040,38,330,0.08,227732,69,0,1155.0,1400,0.10,0.50,Supply,HealthRestore,生命值+250,0,0,0.0,0.0,0.0,0.0,8,0,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Shatter>Shatter>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>FrostSpread>FrostSpread>Power>Power>Frost>Power","Frost:2|FrostSpread:5|Shatter:5|Power:3",1,25088,156600,3629.5,0,840,180,0.00,12,0,2,7,1,22,Chapter01_01_Test,0,1.00
9,Mix,17,Win,60.8,24,14,1,4,0,43,2000,860,2000,260,600,600,0,600,0.12,131424,0,96800,0,25520,31,271,0.06,228224,82,0,855.0,1600,0.10,0.50,Supply,ShieldRestore,护盾值+100,0,0,0.0,0.0,0.0,0.0,9,0,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>FrostSpread>Shatter>Shatter>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>FrostSpread>FrostSpread>Power>Power>Frost>Power>Power","Frost:2|FrostSpread:5|Shatter:5|Power:4",1,28296,165330,3754.8,22,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test,0,1.00
10,Mix,17,Win,50.0,0,16,0,0,0,16,2000,360,1741,0,0,0,869,619,0.00,4644,0,86400,0,0,0,23,0.69,91044,19,0,369.0,1800,0.10,0.50,None,None,None,0,0,0.0,0.0,0.0,0.0,9,0,0,500,369,11.1,Charge,0.00,3,2,2,2,"Frost>FrostSpread>Shatter>Shatter>Shatter>Shatter>Shatter>FrostSpread>FrostSpread>FrostSpread>FrostSpread>Power>Power>Frost>Power>Power","Frost:2|FrostSpread:5|Shatter:5|Power:4",1,29952,0,1822.5,134,0,48,0.00,0,0,0,0,0,0,Chapter01_01_Test,120123,1.00
