Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id
1,Mix,3,Win,40.9,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,20020,0,0,0,3320,17,167,0.00,20020,0,0,0.0,1000,0.10,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-150|激光攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex","Reflex:2",0,1500,20000,489.1,0,380,95,0.00,20,0,0,0,0,20,Chapter01_01_Test
2,Mix,5,Win,44.7,15,0,2,0,0,17,1850,1000,1850,1000,0,0,0,0.59,44722,0,0,0,6372,27,325,0.04,44722,0,0,0.0,1180,0.10,0.50,Deal,HealthLoss→LaserWidthPercent,生命值-80|激光宽度+8%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex>Reflex>Reflex","Reflex:4",0,1770,42900,999.5,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test
3,Mix,8,Win,44.3,15,24,1,0,0,40,1770,1000,1770,1000,0,0,0,0.22,44439,0,0,0,9204,40,306,0.09,44439,0,0,0.0,1180,0.10,0.54,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex>Reflex>Reflex>Wide>Reflex>Wide","Reflex:5|Wide:2",0,2124,40320,1002.3,0,764,172,0.00,16,24,1,0,0,41,Chapter01_01_Test
4,B,9,Win,51.5,16,6,1,5,0,28,1690,1000,1690,1000,0,0,0,0.19,54210,936,0,0,12012,48,339,0.01,55146,0,0,0.0,1300,0.10,0.70,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex>Reflex>Reflex>Wide>Reflex>Wide>Prism","Reflex:5|Wide:2|Prism:1",0,2990,53820,1070.5,0,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test
5,B,11,Win,32.8,40,12,0,0,0,52,1690,900,1690,810,90,0,90,0.00,65130,7293,0,0,21177,74,370,0.08,72423,0,0,0.0,1300,0.15,0.70,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex>Reflex>Reflex>Wide>Reflex>Wide>Prism>Wide>Prism","Reflex:5|Wide:3|Prism:2",1,7540,67800,2205.5,4,976,236,0.00,40,13,0,0,0,53,Chapter01_01_Test
6,B,13,Win,70.9,20,8,4,0,1,33,1610,810,1610,710,100,0,100,0.72,122460,28100,0,0,48477,213,909,0.02,150560,0,0,0.0,1300,0.19,0.80,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex>Reflex>Reflex>Wide>Reflex>Wide>Prism>Wide>Prism>Prism>Wide","Reflex:5|Wide:4|Prism:3",0,5291,149760,2122.3,4,1168,249,0.00,20,8,5,0,1,34,Chapter01_01_Test
7,B,14,Win,37.0,0,20,0,5,0,25,1460,710,1460,560,150,0,150,0.00,19760,29757,0,0,14378,70,339,0.02,49517,0,0,0.0,1300,0.19,0.90,Gacha,LaserWidthPercent,激光宽度+10%,0,0,0.0,0.0,0.0,0.0,0,1,6,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex>Reflex>Reflex>Wide>Reflex>Wide>Prism>Wide>Prism>Prism>Wide>Prism","Reflex:5|Wide:4|Prism:4",0,3770,50600,1336.7,1,520,110,0.00,0,20,0,6,0,26,Chapter01_01_Test
8,B,16,Win,53.5,12,0,2,6,1,21,1460,560,1460,260,300,0,300,0.28,94900,62153,0,0,51272,196,827,0.01,157053,0,0,0.0,1300,0.19,0.93,Gacha_Negative,LaserLengthLossPercent,激光长度-5%,0,0,0.0,0.0,0.0,0.0,0,2,6,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex>Reflex>Reflex>Wide>Reflex>Wide>Prism>Wide>Prism>Prism>Wide>Prism>Prism>Wide","Reflex:5|Wide:5|Prism:5",1,13377,156600,2934.4,2,800,180,0.00,12,0,2,7,1,22,Chapter01_01_Test
9,B,17,Win,45.6,24,14,1,4,0,43,1460,260,1460,0,260,0,260,0.15,59529,112567,0,0,51662,259,1101,0.07,172096,0,0,0.0,1300,0.19,1.00,Supply,ShieldFull,护盾重启,0,0,0.0,0.0,0.0,0.0,1,2,6,0,0,0.0,None,1.00,0,0,0,0,"Reflex>Reflex>Reflex>Reflex>Wide>Reflex>Wide>Prism>Wide>Prism>Prism>Wide>Prism>Prism>Wide>Impact","Reflex:5|Wide:5|Prism:5|Impact:1",0,14471,165330,3773.7,10,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test
10,B,17,Win,97.3,0,48,0,0,0,48,1460,1000,360,0,0,2400,2100,0.00,2080,20930,0,0,7930,37,152,0.17,23010,0,0,0.0,1300,0.19,1.00,None,None,None,0,0,0.0,0.0,0.0,0.0,1,2,6,2400,0,6.0,Charge,0.00,8,4,6,3,"Reflex>Reflex>Reflex>Reflex>Wide>Reflex>Wide>Prism>Wide>Prism>Prism>Wide>Prism>Prism>Wide>Impact","Reflex:5|Wide:5|Prism:5|Impact:1",1,4004,0,236.4,8,0,144,0.32,0,0,0,0,0,0,Chapter01_01_Test
