Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id
1,Mix,3,Win,41.9,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,20360,0,0,460,3800,19,253,0.02,20820,0,0,0.0,1000,0.10,0.50,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism","Chain:1|Prism:1",0,1600,20000,496.8,0,380,95,0.00,20,0,0,0,0,20,Chapter01_01_Test
2,Mix,5,Win,60.5,15,0,2,0,0,17,2000,900,2000,900,0,0,0,0.58,44134,0,0,2504,7820,34,754,0.03,46637,0,0,0.0,1150,0.10,0.50,Gacha,BaseDamagePercent,激光攻击力+10%,0,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain","Chain:3|Prism:1",0,2469,42900,771.4,0,460,125,0.00,15,0,3,0,0,18,Chapter01_01_Test
3,Mix,7,Win,54.3,16,24,0,0,0,40,2000,900,2000,900,0,0,0,0.22,41894,900,0,1644,7750,31,556,0.06,44439,0,0,0.0,1250,0.10,0.50,Gacha,CritRatePercent,激光暴击率+3%,0,0,0.0,0.0,0.0,0.0,0,2,1,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain>Chain>Chain","Chain:5|Prism:1",0,2730,40320,818.7,0,704,152,0.00,16,24,1,0,0,41,Chapter01_01_Test
4,B,9,Win,71.6,16,6,1,5,0,28,2000,900,2000,600,300,0,300,0.18,52744,1581,0,2744,14025,57,749,0.03,57070,0,0,0.0,1250,0.13,0.50,Gacha_Negative,NextWaveHealthBuff,下一波怪物血量+40%,0,0,0.0,0.0,0.0,0.0,0,3,1,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain>Chain>Chain>Prism>Wide","Chain:5|Prism:2|Wide:1",0,2525,53820,797.0,2,696,173,0.00,16,6,1,6,0,29,Chapter01_01_Test
5,B,11,Win,32.7,40,12,0,0,0,52,2000,600,2000,600,0,0,0,0.00,52435,19456,0,4935,15875,69,1319,0.05,76826,0,0,0.0,1250,0.13,0.60,Gacha_Epic,LaserLengthPercent,激光长度+20%,0,0,0.0,0.0,0.0,0.0,0,4,1,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain>Chain>Chain>Prism>Wide>Wide>Prism","Chain:5|Prism:3|Wide:2",1,9035,67800,2350.1,0,960,236,0.00,40,13,0,0,0,53,Chapter01_01_Test
6,B,14,Win,72.6,20,8,4,0,1,33,2000,600,2000,470,130,0,130,0.72,101501,47969,0,11751,34125,156,3049,0.01,161221,0,0,0.0,1250,0.13,0.70,Gacha,LaserLengthPercent,激光长度+10%,0,0,0.0,0.0,0.0,0.0,0,5,1,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain>Chain>Chain>Prism>Wide>Wide>Prism>Prism>Prism>Wide","Chain:5|Prism:5|Wide:3",0,4358,149760,2222.1,5,1248,249,0.00,20,8,5,0,1,34,Chapter01_01_Test
7,B,14,Win,42.8,0,20,0,5,0,25,2000,470,2000,0,490,0,470,0.00,39993,18988,0,619,10625,50,467,0.17,59599,0,0,0.0,1250,0.13,0.80,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,1,5,1,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain>Chain>Chain>Prism>Wide>Wide>Prism>Prism>Prism>Wide","Chain:5|Prism:5|Wide:3",0,2890,50600,1392.7,5,480,110,0.00,0,20,0,6,0,26,Chapter01_01_Test
8,B,16,Win,64.8,12,0,2,6,1,21,2000,0,2000,0,0,0,0,0.27,81543,76825,0,7918,35275,169,2637,0.01,166285,0,0,0.0,1250,0.13,0.90,Gacha,BaseDamagePercent,激光攻击力+10%,0,0,0.0,0.0,0.0,0.0,1,6,1,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain>Chain>Chain>Prism>Wide>Wide>Prism>Prism>Prism>Wide>Wide>Wide","Chain:5|Prism:5|Wide:5",0,5468,156600,2567.8,0,800,180,0.00,12,0,2,7,1,22,Chapter01_01_Test
9,B,17,Win,66.0,24,14,1,4,0,43,2000,0,1970,0,30,0,30,0.15,86282,84200,0,5283,38691,167,1993,0.02,175766,0,0,0.0,1350,0.13,1.00,Supply,HealthRestore,生命值+250,0,0,0.0,0.0,0.0,0.0,2,6,1,0,0,0.0,None,1.00,0,0,0,0,"Chain>Prism>Chain>Chain>Chain>Chain>Prism>Wide>Wide>Prism>Prism>Prism>Wide>Wide>Wide>Reflex","Chain:5|Prism:5|Wide:5|Reflex:1",1,19988,165330,2662.2,1,944,227,0.00,24,14,1,5,0,44,Chapter01_01_Test
10,B,17,Loss,121.4,0,56,0,0,0,56,2000,0,0,0,0,2700,2000,0.00,742,24854,0,742,5292,33,463,0.12,26337,0,0,0.0,1350,0.13,1.00,None,None,None,0,0,0.0,0.0,0.0,0.0,2,6,1,2700,0,7.7,Charge,0.02,9,5,7,4,"Chain>Prism>Chain>Chain>Chain>Chain>Prism>Wide>Wide>Prism>Prism>Prism>Wide>Wide>Wide>Reflex","Chain:5|Prism:5|Wide:5|Reflex:1",2,2117,0,217.0,9,0,168,6.54,0,0,0,0,0,0,Chapter01_01_Test
